review_id,reviewer_id,human_valid,human_notes
know_ae0e4bdad7b5,alice,valid,
know_9bbd45bad55c,alice,valid,
know_f6867a28f962,alice,valid,
know_3b2819dd4c24,alice,valid,
know_b83dd690f864,alice,valid,
know_13783afeae02,alice,valid,
know_9778840a0100,alice,valid,
know_1ce38b99de0b,alice,valid,
know_ee288f745ff1,alice,invalid,
know_f78a7241ee06,alice,valid,
know_b3e154951e44,alice,valid,
know_df49adab93b9,alice,valid,
know_d09b2dbc434c,alice,valid,
know_3df5b1fe9418,alice,valid,
know_7f4c2cb6e8ca,alice,invalid,
know_9312518e3f4a,alice,valid,
know_bae5839fb4d7,alice,invalid,
know_8a9da7865483,alice,valid,
know_62fe704d6e5f,alice,valid,
know_15ea3f46f42e,alice,valid,
know_6af575b97fa1,alice,valid,
know_cee171350246,alice,valid,
know_467d9643b483,alice,valid,
know_53fcf4386cab,alice,valid,
know_766ed919e04d,alice,valid,
know_e9839443e2c0,alice,valid,
know_e55b71fba163,alice,valid,
know_c1139f6202db,alice,invalid,
know_6e57d8bfff7e,alice,valid,
know_0bb8c320dee5,alice,valid,
know_2659fbacb312,alice,valid,
know_f9731341a234,alice,valid,
know_434990c8a25d,alice,invalid,
know_0086b4d7988a,alice,valid,
know_77c0b180512f,alice,valid,
know_303cb0ef9edb,alice,valid,
know_cab648e8cbe1,alice,valid,
know_2055d64c2aba,alice,valid,
know_81efc2968533,alice,valid,
know_c26157b5167b,alice,valid,
know_76df58bcdf7e,alice,valid,
know_0fd539cd68d9,alice,valid,
know_430e8984e72f,alice,valid,
know_10fc493d67db,alice,valid,
know_be2ae05fb04d,alice,valid,
know_ac9bb7c74a24,alice,valid,
know_e0b899598f52,alice,valid,
know_fd29e03a13f2,alice,valid,
know_b87c87d2a5f4,alice,valid,
know_89948c7f4890,alice,valid,
know_543aecf35bbc,alice,valid,
know_3a824154b16e,alice,invalid,
know_efe01da942ed,alice,valid,
know_f375dbeedcce,alice,invalid,
know_05e7d19a6d00,alice,valid,
know_42d316b0cb86,alice,valid,
know_bd9081e95f9f,alice,valid,
know_a62152805e82,alice,valid,
know_8303325a9f58,alice,valid,
know_371651195ada,alice,valid,
know_e4c50e7a3518,alice,valid,
know_a1595abbb4c3,alice,valid,
know_89765ba66c55,alice,valid,
know_ec8dbf034027,alice,valid,
know_30136395f018,alice,valid,
know_96d82a7fc1d2,alice,valid,
know_a1234b3161b4,alice,valid,
know_912e1b278456,alice,valid,
know_3ba90f7ae365,alice,valid,
know_13fd1a10d592,alice,valid,
know_7d2b88f5977b,alice,invalid,
know_e9ef48a7c810,alice,valid,
know_4ad8aa3a3571,alice,invalid,
know_c566d6d9bc3c,alice,valid,
know_39c034499492,alice,valid,
know_250d9c7235cb,alice,valid,
know_6dbcde40cced,alice,valid,
know_e5564043fa65,alice,valid,
know_1c98b6fcd2a6,alice,valid,
know_6f4327b67d20,alice,valid,
know_8d966b2253a9,alice,invalid,
know_bf9bb4fad8a3,alice,valid,
know_7b1ac1aecdeb,alice,valid,
know_f6d1068a54f2,dewi,valid,
know_bbd471098902,dewi,invalid,
